quick_score_decile,n,mean_score,material_rate,actual_amount_sum,mean_actual_amount,mean_predicted_amount
1,242,0.23334939932132887,0.0,27559.39063541569,113.8817794851888,1027.3087073851905
2,242,0.2971924600459745,0.012396694214876033,1186172.7779305892,4901.540404671856,1915.6476751270297
3,241,0.3508556373828694,0.004149377593360996,335104.4743513199,1390.4749973083813,3247.862867969239
4,242,0.40271441081495263,0.008264462809917356,1414155.1929456387,5843.616499775367,5183.618065481129
5,241,0.45171539666401034,0.0,498299.15534136386,2067.6313499641656,7597.918276526611
6,242,0.49806358094795034,0.028925619834710745,4771579.256936977,19717.269656764365,14879.326055191917
7,241,0.552283531642439,0.07883817427385892,33864397.82934737,140516.17356575673,31026.212077247725
8,242,0.620557355235072,0.08677685950413223,482221745.95360774,1992651.842783503,128156.2146247782
9,241,0.7156540937319668,0.15352697095435686,494156160.1454906,2050440.4985290065,4432805.131168173
10,242,0.8798063187564994,0.5289256198347108,4340823826.219309,17937288.538096316,8121407.392327799
